toplistindex,id,name,subs,views,uploads,countryCode,contentCategory,meantbu,mediantbu,
88,UCbW18JZRgko_mOGm5er8Yzg,OneDirectionVEVO,22.9M,9000935875,171,GB,None,5,-1,
89,UCLkAepWjdylmXSltofFvsYQ,BANGTANTV,23M,3070728196,1067,KR,None,-16.1875,-59.0,
90,None,None,None,None,None,None,None,NONE,None,
91,UCt-k6JwNWHMXDBGm9IYHdsg,J Balvin,22.6M,116845240,42,CO,None,0.4090909090909091,-14.5,
92,UCstEtN0pgOmCf02EdXsGChw,ABS-CBN Entertainment,22.6M,31088951211,131818,PH,None,55.104166666666664,3.5,
93,UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,22.4M,6050018898,94140,IN,None,18.510204081632654,79,
94,UCAW-NpUFkMyCNrvRSSGIvDQ,Ninja,22.4M,1970799030,951,US,None,1.816326530612245,-6,
95,UC8-Th83bH_thdKZDJCrn88g,The Tonight Show Starring Jimmy Fallon,22.4M,12412599511,5552,US,None,28.5,-62.5,
96,UCrsqaoJxjdovqOTzW_nSJig,xxxtentacion,163,0,0,NULL,NULL,NONE,None,
97,UClZuKq2m0Qu-HkopkSBLpEw,Maluma,22.4M,264955077,8,NULL,None,-21.57894736842105,0,
98,UChGJGhZ9SOOHvBB0Y4DOO_w,Ryan's World,22.2M,33187933435,1548,US,None,4.489795918367347,-138,
99,UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM,22.2M,15696029086,3256,GB,None,2.2244897959183674,35,
100,ZZworldstarhiphop,NULL,63,0,0,UG,NULL,NONE,None,
101,NONE,CVS 3D Rhymes,21.9M,13062559035,331,IN,None,NONE,None,
102,NONE,Billie Eilish,21.9M,483050874,24,US,None,NONE,None,
103,NONE,enchufetv,21.7M,7714246499,1227,CO,None,NONE,None,
104,UCKAqou7V9FAWXpZd9xtOg3Q,Little Baby Bum - Nursery Rhymes & Kids Songs,21.5M,20509398529,1027,US,None,-0.061224489795918366,-76,
105,UCQIzjrOGJh4zOSu1gaDgpYw,SearchMojo,85,15991,72,NULL,None,4.791666666666667,8.0,
106,UCsT0YIqwnpJCM-mx7-gSA4Q,TEDx Talks,21.4M,3848990391,143555,US,None,22.958333333333332,157.5,
107,NONE,ryanhiga,278,0,0,US,None,NONE,None,
108,UCS94J1s6-qc8v7btCdS2pNg,Stacy Toys,20.9M,7051017102,230,US,NULL,9.142857142857142,-5,
109,UC1l7wYrva1qCH-wgqcHaaRg,David Guetta,20.9M,11910476491,525,US,None,16.571428571428573,-109,
110,NONE,Colors TV,20.8M,14953923700,33349,IN,None,NONE,None,
111,UCJ0uqCI0Vqr2Rrt1HseGirg,The Late Late Show with James Corden,20.8M,6422658302,3661,US,None,20.458333333333332,105.0,
112,NONE,LosPolinesios,20.7M,4208720370,490,MX,None,NONE,None,
113,NONE,Eros Now,20.6M,12025089233,10087,IN,None,NONE,None,
114,None,None,None,None,None,None,None,NONE,None,
115,NONE,KSI,20.5M,4976969546,1197,GB,None,NONE,None,
116,NONE,adele,221,0,0,MY,NULL,NONE,None,
117,UCbrd1vu4_7qIE6IPV_dA-OA,GENIAL,20.3M,3017076716,2640,NULL,None,-1.163265306122449,18,
118,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,20.3M,15385769900,3903,KR,None,-28.918367346938776,-436,
119,UC4rasfm9J-X4jNl9SvXp8xA,Ultra Music,20M,11367418614,3864,US,None,-16.571428571428573,0,
120,UCQZfFRohQ7UX-0CdXl-6pwQ,Kimberly Loaiza,20M,1336057432,100,MX,None,4.6938775510204085,74,
121,UCT9zcQNlyht7fRlcjmflRSA,ImagineDragons,20M,19628025,51,US,None,-3.125,-14.0,
122,UC9gFih9rw0zNCK3ZtoKQQyA,JennaMarbles,20M,3362296354,472,US,None,6.8125,10.5,
123,UCmBA_wu8xGg1OfOkfW13Q0Q,Bad Bunny,19.9M,5632806759,33,PR,None,-45.285714285714285,0,
124,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul Vlogs,19.9M,4703655951,649,US,None,5.142857142857143,37,
125,NONE,LooLoo Kids - Nursery Rhymes and Children's …,20M,8118306091,421,US,None,NONE,None,
126,UC3jOd7GUMhpgJRBhiLzuLsg,Nicki Minaj,19.8M,91689090,20,US,None,-55.791666666666664,51.5,
127,NONE,NULL,NULL,NULL,NULL,NULL,NULL,NONE,None,
128,NONE,NULL,NULL,NULL,NULL,NULL,NULL,NONE,None,
129,UCq3Ci-h945sbEYXpVlw7rJg,The Chainsmokers,19.7M,794387323,189,US,None,3.5714285714285716,51,
130,UC7TTtOQKMXTWWMtWQMIgVSA,Collins Key,19.7M,4051716099,240,US,None,-2.142857142857143,-70,
131,UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul,19.7M,6201315722,829,US,None,-1.2653061224489797,6,
132,NONE,Beyoncé,19.6M,833306511,222,US,None,NONE,None,
133,UCpko_-a4wgz2u_DgDgd9fqA,BuzzFeedVideo,19.5M,15979160386,6420,US,None,26.551020408163264,-21,
134,UCaKLg1ELiX0zTJ6Je3c5esA,Atta Halilintar,19.5M,1782706976,628,ID,None,10.387755102040817,66,
135,UCVp3nfGRxmMadNDuVbJSk8A,Wiz Khalifa,19.5M,9202896523,474,US,None,23.918367346938776,55,
136,NONE,NickyJamTV,19.5M,12313605783,226,PR,None,NONE,None,
137,UCF1JIbMUs6uqoZEY1Haw0GQ,Shemaroo,19.5M,9679778887,6823,IN,None,8.938775510204081,64,
138,UC8f7MkX4MFOOJ2SerXLInCA,one31,19.4M,14604212925,74787,TH,None,-8.770833333333334,-64.5,
139,UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,19.3M,9691981825,4399,IN,None,-44.87755102040816,-152,
140,NONE,drake,392,45448,3,NULL,None,NONE,None,
141,UCGnjeahCJW1AF34HBmQTJ-Q,shakiraVEVO,19.1M,16783047529,144,US,None,-38.69387755102041,46,
142,UC_TVqp_SyG6j5hG-xVRy95A,Skrillex,19M,5219348583,168,US,None,51.857142857142854,-58,
143,UCBAb_DK4GYZqZR9MFA7y2Xg,Galinha Pintadinha,19.1M,13251082488,50,BR,None,5.836734693877551,7,
144,UCPHXtOVmjvbP9OJihsd7gCg,CanalCanalha,19M,1383104026,222,BR,None,6.333333333333333,-28.0,
145,NONE,Ultra Bollywood,19M,10610975608,10381,IN,None,NONE,None,
146,UC2pmfLm7iq6Ov1UwYrWYkZA,Vevo,18.9M,558501062,1556,US,None,24.770833333333332,15.5,
147,UCyQqzYXQBUWgBTn4pw_fFSQ,AuronPlay,18.7M,2422420793,394,ES,None,8.791666666666666,7.5,
148,UC0VOyT2OCBKdQhF3BAbZ-1g,ArianaGrandeVevo,18.6M,12990113899,110,US,None,18.346938775510203,75,
149,UCLsooMJoIpl_7ux2jvdPB-Q,Super Simple Songs - Kids Songs,18.4M,16260201685,473,CA,None,36.48979591836735,-74,
150,UC-6czyMkxDi8E8akPl0c7_w,Enrique Iglesias,18.3M,794079848,389,US,None,61.61224489795919,-78,
151,UCw8ZhLPdQ0u_Y-TLKd61hGA,1MILLION Dance Studio,18.2M,4332554429,1715,KR,None,25.163265306122447,66,
152,UCtW7qWjpCZ8zps-Cf2NF26w,Gaane Sune Ansune,18M,7495317973,2221,IN,None,2.4081632653061225,13,
153,UCLp8RBhQHu9wSsq62j_Md6A,LuisFonsiVEVO,18M,11481561360,68,US,None,-11.795918367346939,0,
154,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,18M,4004819069,1276,AR,None,2.3333333333333335,-8.0,
155,NONE,Style 1theK,2.05K,0,0,KR,None,NONE,None,
156,UCcYrdFJF7hmPXRNaWdrko4w,ChrisBrownTV,17.8M,33475586,18,US,None,121.0625,-20.0,
157,UCIPA6iWNaoetaa1T46RkzXw,AuthenticGames,17.7M,7268628221,3785,BR,None,13.895833333333334,28.0,
158,UCxSz6JVYmzVhtkraHWZC7HQ,Liza Koshy,17.7M,2288276361,166,US,None,-24.1875,-17.5,
159,NONE,TrafalgarAce,15,197,5,NULL,None,NONE,None,
